#domain,#severity,#reject_media,#reject_reports,#public_comment,#obfuscate
mastodon.acm.org,silence,true,false,"",false
urweibo.com,silence,true,false,"",false
electroverse.tech,silence,true,false,"",false
comingto.org,silence,true,false,"",false
mastodon.openjw.com,silence,true,false,"",false
india.goonj.xyz,silence,true,false,"",false
nsfwmisskey.narazaka.net,silence,true,false,"",false
mastodon.buzhangjiuzhou.com,silence,true,false,"",false
piclub.social,silence,true,false,"",false
m.n1l.dev,silence,true,false,"",false
transforthe.win,silence,true,false,"",false
qaf.men,silence,true,false,"",false
mastodon.site,silence,true,false,"",false
misskey.pepabo.com,silence,true,false,"",false
morale.ch,silence,true,false,"",false
www.gctaisentl.com,silence,true,false,"",false
nekton.social,silence,true,false,"",false
misskey.mofumofu.me,silence,true,false,"",false
asocial.social,silence,true,false,"",false
oyasumi.ski,silence,true,false,"",false
cryptodon.lol,silence,true,false,"",false
ac.akirin.xyz,silence,true,false,"",false
lawsocial.org,silence,true,false,"",false
elderscrolls.space,silence,true,false,"",false
seda.social,silence,true,false,"",false
pogs.cafe,silence,true,false,"",false
bols.games,silence,true,false,"",false
jiaojiao.org,silence,true,false,"",false
freesocial.co,silence,true,false,"",false
acat.world,silence,true,false,"",false
kitsui.life,silence,true,false,"",false
mkacg.com,silence,true,false,"",false
fetistodon.com,silence,true,false,"",false
mstdn.beer,silence,true,false,"",false
kids.0px.io,silence,true,false,"",false
ravenation.club,silence,true,false,"",false
mastodon.sl,silence,true,false,"",false
brasil.goonj.xyz,silence,true,false,"",false
